Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,multiple_deliveries,Festival,City,Time_taken (min),distance
22.0,4.9,Fog,Low,2,1.0,0.0,Metropolitian,15,1.5125177574805933
39.0,4.9,Sunny,Low,1,1.0,0.0,Metropolitian,13,1.5369061340343029
27.0,5.0,Sunny,Jam,2,0.0,0.0,Metropolitian,10,13.582337494192412
32.0,4.6,Windy,Medium,0,1.0,0.0,Metropolitian,44,10.58713106938149
31.0,4.6,Fog,Low,1,0.0,0.0,Metropolitian,17,7.66031691183285
35.0,4.1,Sandstorms,Jam,2,0.0,0.0,Metropolitian,38,13.829931792649829
32.0,4.3,Sandstorms,High,0,1.0,0.0,Metropolitian,41,1.4687249859622196
34.0,4.8,Sandstorms,Low,2,1.0,0.0,Metropolitian,21,1.4922779167659712
27.0,4.8,Stormy,High,2,0.0,0.0,Urban,10,6.050033592458703
21.0,4.7,Cloudy,High,2,1.0,0.0,Urban,28,1.520309052937885
37.0,4.9,Stormy,Medium,2,1.0,0.0,Urban,28,20.8534264919692
25.0,4.6,Fog,Jam,2,1.0,0.0,,30,12.419649807727565
24.0,5.0,Cloudy,Low,0,1.0,0.0,Metropolitian,22,9.363950447566976
26.0,4.5,Windy,Low,0,0.0,0.0,Metropolitian,25,4.658009301231346
32.0,3.8,Windy,Jam,2,2.0,0.0,Metropolitian,38,11.93700678113574
25.0,4.8,Cloudy,Low,2,1.0,0.0,Urban,28,16.721976048741215
34.0,4.8,Cloudy,Jam,0,1.0,0.0,Urban,31,9.075521306663484
33.0,4.9,Sandstorms,High,2,1.0,0.0,Metropolitian,25,3.1046608747206426
33.0,4.9,Fog,Low,1,1.0,0.0,Metropolitian,18,7.790122649763986
39.0,4.6,Cloudy,Jam,0,1.0,0.0,Urban,28,4.674341511234465
21.0,4.0,Stormy,Jam,0,1.0,0.0,Metropolitian,35,13.61117180523985
24.0,4.7,Fog,Low,1,0.0,0.0,Metropolitian,12,7.562491288861812
34.0,4.5,Stormy,Jam,2,1.0,0.0,Metropolitian,26,4.464808750409879
30.0,5.0,Cloudy,Low,0,1.0,0.0,Metropolitian,25,1.552761506023859
,,Stormy,High,1,1.0,0.0,Metropolitian,32,6.209485128886319
39.0,4.0,Cloudy,Medium,1,1.0,0.0,Metropolitian,33,19.975741216257436
31.0,4.7,Stormy,Low,1,1.0,0.0,Metropolitian,25,7.562501497648588
31.0,4.3,Windy,Low,0,1.0,0.0,Metropolitian,34,9.17785559642758
22.0,4.5,Cloudy,Medium,0,2.0,0.0,Metropolitian,40,10.704161271430332
32.0,4.6,Fog,Medium,2,1.0,0.0,Urban,17,6.037448590044755
26.0,5.0,Sunny,Medium,2,1.0,0.0,Urban,11,13.390975771120049
21.0,4.6,Fog,Low,1,0.0,0.0,Metropolitian,27,14.021726512881596
23.0,4.6,Fog,Medium,2,0.0,0.0,Metropolitian,12,4.663493139918665
22.0,4.7,Windy,Jam,0,0.0,0.0,Urban,23,9.314862687658117
23.0,4.0,Windy,Low,0,1.0,0.0,Urban,16,7.790336733567704
31.0,4.8,Windy,Low,0,1.0,0.0,Metropolitian,23,10.683783113047896
22.0,4.8,Cloudy,Low,0,1.0,0.0,Metropolitian,16,3.0736169345596607
34.0,4.7,Fog,Medium,0,2.0,0.0,Metropolitian,43,10.590448391072323
27.0,4.8,Windy,High,1,1.0,0.0,Urban,18,5.958808071070684
36.0,4.8,Cloudy,Medium,1,1.0,0.0,Metropolitian,37,12.257619701209578
30.0,4.9,Cloudy,Jam,1,1.0,0.0,Metropolitian,38,19.976746466954737
27.0,5.0,Cloudy,Medium,0,0.0,0.0,Metropolitian,20,4.39522525342693
37.0,4.1,Sandstorms,High,0,0.0,0.0,Metropolitian,48,2.981217855191797
33.0,4.7,Cloudy,Jam,1,1.0,0.0,Metropolitian,49,13.481268364459728
23.0,4.8,Stormy,Medium,2,0.0,0.0,Urban,27,4.656607046012821
24.0,3.9,Sunny,Jam,0,0.0,1.0,Metropolitian,40,4.395410042540846
25.0,4.9,Cloudy,High,2,1.0,0.0,Urban,22,1.5323511358881128
23.0,4.7,Stormy,High,0,1.0,0.0,Metropolitian,35,6.058923147526397
36.0,5.0,Fog,Low,1,1.0,0.0,Metropolitian,30,20.285136523122805
34.0,4.3,Sandstorms,Medium,2,1.0,0.0,Urban,34,4.395412768889443
20.0,4.6,Sandstorms,Medium,0,1.0,0.0,Metropolitian,29,7.648557947935138
38.0,4.6,Sandstorms,Medium,1,0.0,0.0,Urban,22,19.61782456145077
38.0,3.8,Cloudy,Low,2,2.0,0.0,Metropolitian,37,16.384324359677578
25.0,4.7,Fog,Medium,2,1.0,0.0,Metropolitian,37,10.757050667280428
34.0,4.9,Sandstorms,Medium,0,1.0,0.0,Metropolitian,25,9.220368460607467
35.0,4.5,Windy,Jam,2,1.0,0.0,Metropolitian,30,4.663772762376294
35.0,4.2,Windy,Jam,1,1.0,0.0,Metropolitian,34,10.254936646815208
22.0,4.9,Windy,Low,2,0.0,0.0,Urban,11,13.788282220013778
33.0,4.1,Cloudy,Jam,2,0.0,0.0,Metropolitian,35,9.220865975037842
39.0,4.9,Cloudy,Jam,1,2.0,0.0,Metropolitian,48,14.02184017066065
30.0,4.9,Cloudy,Low,0,1.0,0.0,Metropolitian,20,3.121423704552785
32.0,4.9,Windy,Low,2,0.0,0.0,Urban,22,17.164833902684478
31.0,4.8,Sandstorms,Medium,2,1.0,0.0,Metropolitian,32,4.561112369847916
20.0,4.8,Fog,Medium,1,0.0,0.0,Metropolitian,17,6.210605364096597
33.0,4.0,Sandstorms,Medium,1,1.0,0.0,Metropolitian,34,7.763102784727143
23.0,4.7,Cloudy,High,2,1.0,0.0,Metropolitian,30,1.5369061340343029
23.0,4.8,Cloudy,Low,0,0.0,0.0,Metropolitian,18,7.651068542725116
35.0,4.9,Cloudy,Jam,1,1.0,0.0,Metropolitian,45,10.586910515510665
23.0,4.8,Sandstorms,Jam,2,0.0,0.0,Metropolitian,21,17.09752492719776
37.0,4.5,Sandstorms,Jam,2,1.0,0.0,Metropolitian,37,20.206420943723728
22.0,5.0,Fog,Jam,1,1.0,0.0,Urban,31,10.880650831531838
30.0,4.6,Sunny,Medium,0,,0.0,Metropolitian,22,4.674181485440602
39.0,4.9,Sunny,High,1,1.0,0.0,Urban,19,3.1161417126181274
36.0,4.9,Sandstorms,Jam,0,1.0,0.0,Urban,36,12.463970105023904
36.0,4.8,Fog,High,0,1.0,0.0,Metropolitian,31,5.958756242189327
38.0,3.8,Sandstorms,Jam,2,1.0,0.0,Metropolitian,37,10.704238934519315
32.0,5.0,Cloudy,Jam,1,0.0,0.0,Metropolitian,34,4.589099458435952
25.0,4.5,Sandstorms,Low,2,0.0,0.0,Metropolitian,16,9.054602228168925
25.0,4.9,Sandstorms,Low,0,1.0,0.0,Urban,16,13.989584724635527
22.0,4.8,Windy,Jam,2,0.0,0.0,Metropolitian,19,16.384334344092046
21.0,4.9,Stormy,Jam,0,1.0,0.0,Metropolitian,34,13.61133781432128
33.0,4.1,Stormy,Medium,0,0.0,0.0,Metropolitian,34,7.790237052802913
34.0,4.8,Sandstorms,Low,2,0.0,0.0,Urban,23,1.5525607701091515
35.0,4.6,Sunny,Medium,2,0.0,0.0,Metropolitian,21,7.325363522877257
20.0,4.8,Windy,Low,1,1.0,0.0,Metropolitian,19,3.104785917529512
32.0,4.7,Sunny,High,1,0.0,0.0,Metropolitian,20,3.0732024062611822
23.0,5.0,Stormy,Medium,2,1.0,0.0,Urban,23,4.674184358398377
37.0,4.7,Fog,Medium,0,1.0,0.0,Metropolitian,42,11.720801597550349
35.0,4.5,Sunny,Low,2,1.0,0.0,Urban,16,13.215481259999027
31.0,4.9,Windy,Jam,1,0.0,0.0,Metropolitian,31,7.562921044749782
29.0,4.0,Windy,Jam,0,0.0,0.0,Metropolitian,37,10.881731319465793
26.0,4.6,Sandstorms,Low,2,0.0,0.0,Urban,17,1.5545063790428728
34.0,4.8,Fog,Medium,2,1.0,0.0,Urban,19,5.968901918017758
27.0,4.7,Fog,Medium,0,1.0,0.0,Metropolitian,36,11.914594077317576
27.0,4.7,Cloudy,High,1,1.0,0.0,Metropolitian,22,3.073644027723396
31.0,4.8,Sunny,Medium,1,1.0,0.0,Metropolitian,28,16.821912713961545
26.0,4.7,Fog,Jam,1,1.0,0.0,Metropolitian,20,4.631634621028435
32.0,4.8,Sunny,Medium,2,0.0,0.0,Metropolitian,23,4.682081538285076
29.0,4.8,Fog,Low,0,0.0,0.0,Metropolitian,20,3.121088297487764
24.0,4.7,Sunny,Jam,0,1.0,0.0,Metropolitian,15,10.756990051436132
38.0,4.5,Sandstorms,Jam,2,1.0,0.0,Metropolitian,44,19.68777669417997
37.0,4.4,Sunny,Medium,0,1.0,0.0,Metropolitian,39,12.293677673573283
29.0,4.7,Windy,Medium,0,1.0,0.0,Metropolitian,33,20.181186875221297
25.0,5.0,Cloudy,Jam,1,2.0,0.0,Metropolitian,38,13.894916383849754
33.0,4.7,Windy,Low,1,1.0,0.0,Metropolitian,28,1.55255331684981
24.0,4.8,Windy,Medium,2,1.0,0.0,Metropolitian,19,12.237167878708664
21.0,4.9,Windy,Jam,1,1.0,0.0,Metropolitian,27,16.721288103917214
26.0,3.3,Sunny,Low,1,1.0,0.0,Metropolitian,37,10.725034637880958
23.0,4.8,Sunny,Jam,2,0.0,0.0,Urban,19,12.098714903153644
37.0,4.1,Cloudy,High,1,1.0,0.0,Metropolitian,33,2.9961936989582854
38.0,5.0,Cloudy,Low,0,1.0,0.0,Metropolitian,40,12.162306145096023
34.0,5.0,Fog,High,2,1.0,0.0,Metropolitian,36,1.5100980577952057
20.0,4.7,Stormy,Low,1,1.0,,Metropolitian,13,9.15772743793788
38.0,4.7,Sandstorms,Jam,0,0.0,0.0,Metropolitian,30,4.469557550709276
39.0,4.0,Cloudy,Jam,1,3.0,0.0,Metropolitian,43,16.851371030914212
25.0,4.6,Fog,Medium,1,1.0,0.0,Urban,12,9.326603239772547
38.0,4.9,Sandstorms,Jam,0,1.0,0.0,Metropolitian,51,13.681056958913905
33.0,4.9,Cloudy,Medium,0,1.0,0.0,Urban,34,6.037529176542177
38.0,4.4,Sandstorms,Low,0,1.0,0.0,,28,7.601681384871196
37.0,4.3,Fog,High,1,2.0,0.0,Metropolitian,35,6.209476177667662
,,Cloudy,Jam,1,1.0,0.0,Semi-Urban,48,20.181034547352507
34.0,4.8,Sunny,High,1,1.0,0.0,Metropolitian,20,6.054030177982856
23.0,4.7,Sunny,Low,1,1.0,0.0,Urban,23,1.4897777216516548
20.0,4.8,Sandstorms,Medium,2,1.0,0.0,Metropolitian,26,6.217525604924386
24.0,4.7,Cloudy,High,0,1.0,0.0,Metropolitian,23,6.232373004507649
27.0,4.9,Sandstorms,Low,2,0.0,0.0,Metropolitian,16,20.25378851608599
24.0,4.1,Sandstorms,Low,0,1.0,0.0,Urban,24,1.5302997807730143
35.0,5.0,Sandstorms,High,2,1.0,0.0,Metropolitian,26,1.5323596444882273
25.0,4.6,Sandstorms,Jam,1,1.0,0.0,Metropolitian,29,13.97214132886697
37.0,4.7,Windy,Low,0,,0.0,Urban,20,13.786698988713738
24.0,4.8,Stormy,Jam,1,1.0,0.0,Metropolitian,17,19.760063712198686
25.0,4.9,Stormy,Low,0,1.0,0.0,Urban,19,11.917101549462794
32.0,4.4,Stormy,Jam,0,1.0,0.0,Metropolitian,49,8.938093974530164
26.0,4.8,Sunny,Jam,2,1.0,0.0,Metropolitian,15,19.34359866677065
25.0,4.5,Windy,Jam,1,0.0,0.0,Metropolitian,11,7.60180033473793
35.0,4.9,Cloudy,Low,0,1.0,0.0,Metropolitian,20,1.552697443893239
28.0,4.8,Cloudy,Low,2,1.0,0.0,Metropolitian,29,17.09792543535391
30.0,4.7,Cloudy,Low,1,1.0,0.0,Urban,27,10.58781590344868
34.0,4.9,Windy,Low,1,0.0,0.0,,18,19.76106632827125
28.0,5.0,Sandstorms,Low,1,0.0,,Metropolitian,11,1.536864059415262
30.0,4.1,Stormy,Jam,0,0.0,0.0,Metropolitian,48,4.561269432005461
36.0,4.9,Stormy,Medium,1,1.0,0.0,Metropolitian,26,4.579040250041773
27.0,4.7,Windy,Low,2,0.0,0.0,Urban,13,7.631413514279125
20.0,4.6,Stormy,High,0,1.0,0.0,Metropolitian,20,6.116387229265562
27.0,5.0,Stormy,Low,0,0.0,0.0,Metropolitian,18,10.587588203123412
34.0,4.6,Fog,High,2,1.0,0.0,Metropolitian,25,3.11620371432348
24.0,4.7,Stormy,High,2,1.0,0.0,Urban,10,1.5580739318105787
36.0,5.0,Sandstorms,Jam,2,0.0,0.0,Metropolitian,31,7.601265908224463
38.0,4.9,Fog,Jam,2,1.0,0.0,Metropolitian,31,4.537653689675139
36.0,4.9,Sunny,Low,1,0.0,,Urban,13,3.1162419915691597
35.0,4.7,Sandstorms,Jam,1,1.0,0.0,Metropolitian,29,9.055898607912091
24.0,4.8,Cloudy,Low,2,1.0,,Urban,13,1.5126165219141463
38.0,4.2,Sandstorms,Medium,0,0.0,0.0,Metropolitian,33,12.294124530423586
34.0,4.2,Stormy,Low,0,0.0,0.0,Metropolitian,30,4.631778694091427
32.0,4.8,Stormy,Medium,0,1.0,0.0,Metropolitian,29,4.561152427256372
24.0,4.9,Windy,Medium,0,1.0,0.0,Metropolitian,26,4.65825552423237
31.0,4.9,Sunny,Low,1,1.0,0.0,Urban,17,1.513073455729525
31.0,4.6,Fog,Low,1,1.0,0.0,Metropolitian,18,1.5526968797445757
21.0,5.0,Windy,Low,2,1.0,0.0,Metropolitian,19,13.68092007746041
35.0,4.1,Stormy,Medium,2,1.0,0.0,Metropolitian,37,17.09752492719776
37.0,4.7,Windy,Medium,1,1.0,0.0,Metropolitian,30,13.612340865269688
28.0,4.7,Sandstorms,Medium,0,1.0,0.0,Metropolitian,28,12.43584244017328
24.0,5.0,Sandstorms,Medium,0,1.0,0.0,Metropolitian,17,4.68194406673398
32.0,5.0,Cloudy,High,2,1.0,0.0,Metropolitian,37,3.116253656338934
23.0,4.6,Sandstorms,High,0,1.0,0.0,Metropolitian,18,6.128627670485152
33.0,4.6,Sunny,Low,2,1.0,0.0,Urban,20,20.253088868519526
35.0,4.6,Windy,Medium,0,1.0,0.0,Metropolitian,30,10.86742683448048
27.0,4.8,Fog,Low,1,1.0,0.0,Metropolitian,18,4.658001279265391
28.0,4.6,Sunny,Jam,2,1.0,0.0,Urban,21,10.725566076623076
25.0,4.9,Sandstorms,High,2,1.0,0.0,Metropolitian,19,3.1051298892163754
20.0,4.7,Sandstorms,Jam,0,1.0,0.0,Urban,30,17.074879617078196
32.0,4.6,Sandstorms,Low,1,0.0,0.0,Metropolitian,28,7.448970151933079
37.0,4.6,Sandstorms,Low,2,1.0,0.0,Metropolitian,27,2.979598701342032
25.0,4.2,Fog,Medium,1,1.0,0.0,Urban,31,16.722548420715
20.0,5.0,Windy,Low,1,0.0,0.0,Urban,16,16.608175423267646
23.0,4.7,Sandstorms,Jam,1,0.0,0.0,Urban,17,11.9366052692267
22.0,4.6,Cloudy,Medium,0,1.0,0.0,Metropolitian,28,9.326577421221064
38.0,3.5,Sandstorms,Medium,1,1.0,0.0,Metropolitian,31,13.405971717381744
37.0,4.3,Fog,Low,2,1.0,0.0,Metropolitian,35,19.617929437389435
37.0,4.9,Fog,Low,2,1.0,0.0,Metropolitian,26,17.076790574743715
27.0,4.9,Sunny,Jam,1,1.0,0.0,Metropolitian,15,14.022096082518878
25.0,4.7,Stormy,Low,1,1.0,0.0,Metropolitian,19,7.762480218802449
22.0,4.9,Windy,Jam,1,0.0,0.0,Metropolitian,18,9.075228438646324
38.0,4.9,Cloudy,High,1,1.0,0.0,Metropolitian,27,5.87414902156866
39.0,4.7,Stormy,High,1,1.0,0.0,Metropolitian,27,6.081142187746012
39.0,4.1,Windy,Jam,2,1.0,0.0,Metropolitian,33,4.674184358398377
38.0,4.5,Sandstorms,Jam,1,1.0,0.0,Metropolitian,38,17.074283280249404
28.0,4.8,Fog,Jam,1,1.0,0.0,Metropolitian,20,7.719720634477976
22.0,4.9,Stormy,Low,1,0.0,0.0,Metropolitian,15,13.970632221184006
26.0,4.6,Fog,Medium,1,1.0,0.0,Metropolitian,31,12.419724873245404
38.0,4.7,Windy,Low,1,1.0,0.0,Metropolitian,26,1.5147861398649296
39.0,3.5,Cloudy,Low,2,1.0,0.0,Urban,32,17.077999100718277
21.0,4.6,Sunny,Jam,2,0.0,0.0,Metropolitian,12,10.593374354489852
36.0,4.1,Sandstorms,Jam,0,1.0,0.0,Metropolitian,48,20.18081128090421
33.0,5.0,Fog,Jam,0,1.0,1.0,Metropolitian,54,20.253459166411545
34.0,4.0,Cloudy,Low,0,1.0,0.0,Metropolitian,36,20.20724042537554
34.0,4.6,Windy,Medium,0,1.0,0.0,Urban,30,16.636744591831217
26.0,5.0,Windy,Jam,0,1.0,0.0,Urban,26,13.406350345879243
28.0,4.9,Windy,Medium,2,1.0,0.0,Urban,20,13.788169484007303
32.0,4.4,Sandstorms,Jam,2,0.0,0.0,Metropolitian,42,13.680908173877386
23.0,4.7,Stormy,Jam,1,1.0,0.0,Metropolitian,20,16.411917547961444
32.0,4.7,Windy,Low,2,1.0,0.0,Urban,25,1.532022774064172
37.0,4.8,Sandstorms,Low,2,1.0,0.0,Metropolitian,25,1.532234790495708
25.0,4.4,Windy,Low,0,1.0,0.0,Metropolitian,27,1.4897777216516548
24.0,4.2,Stormy,Low,0,1.0,0.0,Metropolitian,22,2.9761172465523957
29.0,4.6,Cloudy,Low,1,,0.0,Urban,11,1.5125236323325255
22.0,4.2,Fog,Jam,1,1.0,0.0,Metropolitian,33,16.853347148215086
35.0,4.5,Cloudy,Low,2,0.0,0.0,Urban,17,1.5299884479314707
32.0,4.4,Stormy,Jam,0,1.0,0.0,Urban,43,16.787776250726907
27.0,4.7,Stormy,Low,0,1.0,0.0,Metropolitian,21,17.13783007771357
38.0,4.9,Cloudy,Low,1,0.0,0.0,Metropolitian,28,19.627226055365583
31.0,3.6,Sandstorms,Jam,2,1.0,0.0,Metropolitian,31,20.253584375809144
20.0,5.0,Fog,Medium,2,1.0,0.0,Urban,29,11.983647402103102
32.0,4.9,Stormy,Medium,2,1.0,0.0,Metropolitian,27,19.760907746586085
26.0,4.2,Cloudy,Jam,2,1.0,0.0,Metropolitian,33,20.85227088046227
39.0,4.0,Stormy,Medium,0,2.0,0.0,Metropolitian,38,10.880991591395228
30.0,4.8,Fog,Medium,0,0.0,0.0,Metropolitian,31,6.128639386843045
24.0,4.8,Cloudy,Jam,1,3.0,1.0,Metropolitian,44,16.72253446733555
20.0,4.6,Cloudy,High,2,0.0,0.0,Metropolitian,22,6.128249797982013
37.0,4.9,Sandstorms,Medium,0,1.0,0.0,Metropolitian,26,6.040512901945428
39.0,4.0,Windy,Jam,0,1.0,0.0,Metropolitian,31,7.567428130430248
23.0,4.8,Sandstorms,Medium,0,1.0,0.0,Metropolitian,20,20.5069199439073
25.0,4.7,Stormy,Medium,2,0.0,0.0,Metropolitian,24,9.121036990826918
22.0,4.6,Sunny,Jam,2,1.0,0.0,Metropolitian,11,12.435005114517455
23.0,4.8,Sunny,High,1,1.0,0.0,Metropolitian,14,6.232180611484166
27.0,4.0,Sandstorms,High,0,2.0,0.0,,35,6.1186308844114
39.0,4.7,Sandstorms,Low,2,1.0,0.0,Metropolitian,20,1.5321890925569548
38.0,4.8,Stormy,Low,2,1.0,0.0,Metropolitian,24,10.757554773158072
30.0,4.9,Sandstorms,High,1,1.0,0.0,Metropolitian,29,3.025079987314704
25.0,4.6,Sandstorms,Jam,1,1.0,0.0,Urban,25,17.09752652782741
22.0,4.8,Windy,Low,1,0.0,0.0,Metropolitian,19,3.02735037408095
34.0,4.8,Windy,High,0,1.0,0.0,Metropolitian,37,1.552293346166142
32.0,4.6,Sunny,Jam,1,1.0,0.0,Metropolitian,28,16.722543155307
35.0,4.8,Sunny,Low,1,0.0,0.0,Urban,15,3.064485780676053
20.0,4.9,Windy,Low,2,,0.0,Metropolitian,19,1.5368503798521729
35.0,4.9,Sandstorms,Low,2,1.0,0.0,Metropolitian,22,1.5127140854704322
28.0,4.8,Cloudy,Jam,0,3.0,0.0,Metropolitian,45,16.72115728076054
27.0,4.7,Cloudy,High,1,1.0,0.0,Metropolitian,28,1.536842088254878
26.0,4.6,Sunny,Jam,1,1.0,0.0,Urban,14,9.178296996538572
32.0,4.8,Windy,Low,1,1.0,0.0,Metropolitian,16,10.867473945951692
33.0,4.9,Sunny,Jam,2,,0.0,Metropolitian,18,7.720257981968562
34.0,4.5,Sunny,Jam,0,1.0,0.0,Metropolitian,25,4.657987774595948
27.0,4.7,Cloudy,Medium,0,0.0,0.0,Metropolitian,32,16.63487011821184
34.0,4.6,Sunny,Jam,2,1.0,0.0,Metropolitian,30,20.85154468962371
35.0,4.6,Fog,Medium,0,1.0,0.0,Metropolitian,26,4.610027010711368
34.0,5.0,Stormy,Low,2,1.0,0.0,Metropolitian,20,20.85333460818602
31.0,4.4,Stormy,Jam,0,3.0,0.0,Metropolitian,47,10.58777364583605
25.0,4.8,Stormy,High,2,1.0,0.0,Metropolitian,27,6.21086415606354
27.0,4.8,Fog,Low,1,0.0,0.0,Urban,14,3.0189114817580243
29.0,4.9,Sunny,Medium,1,1.0,0.0,Metropolitian,13,4.587356404161672
36.0,4.9,Sandstorms,High,2,1.0,0.0,Metropolitian,31,5.958756242189327
22.0,3.1,Sunny,Low,1,1.0,0.0,Metropolitian,40,20.182685858169084
33.0,4.8,Fog,Jam,2,0.0,0.0,Metropolitian,26,7.631487330979372
27.0,4.7,Sandstorms,Medium,1,0.0,0.0,Metropolitian,23,9.081139807541316
20.0,4.4,Cloudy,Jam,1,1.0,0.0,Metropolitian,32,12.417003842687146
30.0,4.5,Windy,Jam,1,1.0,0.0,Metropolitian,38,10.7555029596215
32.0,4.6,Sunny,Jam,1,1.0,0.0,Urban,19,16.476590576083705
31.0,4.7,Stormy,High,0,1.0,0.0,Metropolitian,32,5.958847028253639
21.0,4.8,Stormy,Jam,0,1.0,0.0,Urban,26,12.099122314389794
33.0,4.6,Stormy,High,1,1.0,0.0,Urban,30,1.5126653201046325
36.0,4.8,Sunny,Low,1,0.0,0.0,Metropolitian,10,3.121423704552785
34.0,4.5,Stormy,Medium,1,1.0,0.0,Metropolitian,21,19.47107785123484
36.0,5.0,Stormy,Low,1,1.0,0.0,Metropolitian,24,1.4652507248457556
29.0,4.9,Sandstorms,Low,2,1.0,0.0,Metropolitian,13,4.579164213154755
39.0,4.6,Fog,Jam,0,1.0,0.0,Metropolitian,28,4.537922749289298
21.0,4.7,Sunny,High,1,1.0,0.0,Urban,17,6.218030984114243
23.0,4.7,Stormy,Medium,0,1.0,0.0,,20,6.23280716086554
37.0,5.0,Windy,Jam,0,1.0,0.0,Urban,42,4.537922749289298
20.0,4.6,Sandstorms,Jam,0,1.0,0.0,Urban,37,13.973182653917394
32.0,4.9,Stormy,Low,1,,0.0,Metropolitian,16,10.444757509939643
20.0,4.3,Fog,Jam,2,1.0,0.0,Metropolitian,34,13.768325585874765
29.0,4.7,Cloudy,Low,0,0.0,0.0,Metropolitian,20,10.707345040408097
26.0,4.8,Sunny,Medium,2,0.0,0.0,Urban,19,19.975808791439345
39.0,4.2,Cloudy,Jam,2,0.0,0.0,Metropolitian,35,13.406506203190968
22.0,4.8,Cloudy,Low,0,1.0,0.0,Urban,24,10.707675026486204
29.0,4.5,Fog,Jam,0,0.0,0.0,Metropolitian,45,16.659974055073302
25.0,4.9,Sandstorms,High,0,1.0,0.0,,18,6.0497653967074685
